Group,TypeCounts,Objectives,StateCounts
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 81.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 70.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 59.0, 10.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'Dragon': 2, 'Minimal': 1, 'TWDH': 6}","[-16.0, -35.0, -25.0, 532.0, 105.07115894743539]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Dragon': 2, 'Minimal': 1, 'TWDH': 6}","[-16.0, -35.0, -25.0, 532.0, 105.07115894743539]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Dragon': 7, 'TWDH': 3}","[-20.0, -29.0, -30.0, 477.0, 110.1170869774594]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'QWSH': 5, 'TWSH': 1}","[-28.0, -12.0, -18.0, 442.0, 120.79715011809903]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'QWDH': 3, 'TWDH': 1, 'QWSH': 1, 'Dragon': 1}","[-21.0, -24.0, -18.0, 440.0, 271.44899132608737]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 3, 'Dragon': 2}","[-4.0, -7.0, -9.0, 95.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 3}","[-6.0, -8.0, -11.0, 119.0, 10.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'QWSH': 4, 'TWSH': 1, 'Minimal': 1}","[-23.0, -11.0, -16.0, 374.0, 88.71855748619483]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 3}"
