ConfigurationID,Priority,Objectives
0,"[['transport_robot_002_m_171', 't_008', 't_004', 'transport_robot_001_m_018', 't_003', 't_009', 't_005', 't_000', 't_001', 't_006', 't_002', 't_007'], ['t_007', 't_002', 't_008', 't_005', 'transport_robot_001_m_018', 'transport_robot_002_m_171', 't_003', 't_004', 't_000', 't_006', 't_001', 't_009'], ['t_005', 't_000', 't_009', 't_001', 't_003', 't_006', 't_002', 't_004', 't_008', 'transport_robot_002_m_171', 't_007', 'transport_robot_001_m_018'], ['t_005', 'transport_robot_001_m_018', 't_009', 't_006', 't_001', 't_007', 't_008', 't_003', 'transport_robot_002_m_171', 't_000', 't_004', 't_002'], ['t_004', 't_009', 'transport_robot_001_m_018', 't_005', 't_001', 't_006', 't_002', 't_008', 'transport_robot_002_m_171', 't_007', 't_000', 't_003']]","[80.20655737704918, 9.375, 18.0]"
0,"[['transport_robot_002_m_171', 't_001', 't_007', 't_002', 't_008', 't_004', 'transport_robot_001_m_018', 't_003', 't_009', 't_005', 't_000', 't_006'], ['t_007', 't_002', 't_008', 't_005', 'transport_robot_001_m_018', 't_003', 't_004', 't_000', 't_009', 'transport_robot_002_m_171', 't_006', 't_001'], ['t_005', 't_000', 't_009', 't_003', 'transport_robot_002_m_171', 't_001', 't_006', 't_002', 't_004', 't_008', 't_007', 'transport_robot_001_m_018'], ['t_005', 'transport_robot_001_m_018', 't_009', 't_006', 't_001', 't_007', 't_008', 't_003', 'transport_robot_002_m_171', 't_000', 't_004', 't_002'], ['t_004', 't_009', 't_002', 't_006', 't_005', 't_007', 't_001', 't_008', 'transport_robot_001_m_018', 'transport_robot_002_m_171', 't_000', 't_003']]","[80.20655737704918, 9.375, 18.0]"
0,"[['t_007', 't_003', 't_000', 't_009', 'transport_robot_002_m_171', 't_004', 't_001', 't_006', 'transport_robot_001_m_018', 't_005', 't_002', 't_008'], ['t_007', 't_005', 't_000', 't_006', 'transport_robot_002_m_171', 't_008', 't_002', 't_003', 'transport_robot_001_m_018', 't_001', 't_004', 't_009'], ['transport_robot_001_m_018', 't_000', 't_007', 't_006', 't_005', 'transport_robot_002_m_171', 't_001', 't_003', 't_008', 't_004', 't_002', 't_009'], ['t_007', 't_004', 't_000', 't_005', 't_009', 'transport_robot_002_m_171', 't_008', 'transport_robot_001_m_018', 't_006', 't_002', 't_001', 't_003'], ['t_001', 't_009', 'transport_robot_001_m_018', 'transport_robot_002_m_171', 't_004', 't_000', 't_003', 't_006', 't_007', 't_005', 't_002', 't_008']]","[66.72, 9.871441689623508, 19.0]"
0,"[['t_007', 't_004', 't_003', 't_001', 't_009', 'transport_robot_002_m_171', 't_006', 't_000', 'transport_robot_001_m_018', 't_005', 't_002', 't_008'], ['t_007', 't_002', 't_003', 't_006', 't_000', 't_005', 't_004', 't_008', 'transport_robot_001_m_018', 'transport_robot_002_m_171', 't_001', 't_009'], ['transport_robot_001_m_018', 't_000', 't_007', 't_005', 't_006', 't_001', 'transport_robot_002_m_171', 't_003', 't_008', 't_004', 't_002', 't_009'], ['t_001', 'transport_robot_002_m_171', 't_007', 't_005', 't_009', 'transport_robot_001_m_018', 't_008', 't_006', 't_002', 't_003', 't_004', 't_000'], ['t_008', 't_009', 't_002', 'transport_robot_002_m_171', 't_005', 't_004', 'transport_robot_001_m_018', 't_006', 't_007', 't_001', 't_003', 't_000']]","[52.51158469945355, 8.321005917159763, 28.0]"
0,"[['t_003', 't_000', 't_005', 't_009', 'transport_robot_002_m_171', 't_006', 'transport_robot_001_m_018', 't_001', 't_004', 't_007', 't_008', 't_002'], ['t_002', 't_007', 't_000', 't_004', 't_008', 't_006', 'transport_robot_001_m_018', 't_003', 't_005', 't_001', 'transport_robot_002_m_171', 't_009'], ['t_000', 't_007', 'transport_robot_001_m_018', 't_006', 't_005', 'transport_robot_002_m_171', 't_001', 't_003', 't_004', 't_008', 't_009', 't_002'], ['transport_robot_002_m_171', 'transport_robot_001_m_018', 't_007', 't_009', 't_008', 't_000', 't_001', 't_002', 't_006', 't_003', 't_004', 't_005'], ['t_008', 't_009', 't_002', 't_004', 't_005', 't_001', 'transport_robot_001_m_018', 't_003', 't_006', 't_007', 'transport_robot_002_m_171', 't_000']]","[63.58207650273224, 7.457797933988408, 32.0]"
0,"[['t_008', 't_007', 't_001', 't_006', 't_004', 'transport_robot_002_m_171', 't_003', 'transport_robot_001_m_018', 't_005', 't_009', 't_002', 't_000'], ['t_007', 't_009', 't_002', 'transport_robot_001_m_018', 't_006', 't_000', 't_003', 't_001', 'transport_robot_002_m_171', 't_008', 't_004', 't_005'], ['t_000', 't_007', 't_006', 'transport_robot_002_m_171', 't_005', 't_003', 't_001', 'transport_robot_001_m_018', 't_004', 't_008', 't_009', 't_002'], ['transport_robot_002_m_171', 'transport_robot_001_m_018', 't_007', 't_009', 't_008', 't_000', 't_002', 't_006', 't_001', 't_003', 't_004', 't_005'], ['t_008', 't_009', 't_005', 't_002', 'transport_robot_001_m_018', 't_000', 't_003', 't_004', 't_007', 'transport_robot_002_m_171', 't_006', 't_001']]","[63.58207650273224, 7.457797933988408, 32.0]"
0,"[['t_007', 't_002', 't_008', 'transport_robot_002_m_171', 't_004', 't_000', 't_001', 't_005', 't_009', 'transport_robot_001_m_018', 't_003', 't_006'], ['t_007', 'transport_robot_002_m_171', 't_004', 't_006', 't_000', 't_008', 't_002', 't_005', 't_003', 't_001', 'transport_robot_001_m_018', 't_009'], ['transport_robot_001_m_018', 't_007', 't_008', 't_000', 't_006', 't_005', 'transport_robot_002_m_171', 't_001', 't_003', 't_004', 't_009', 't_002'], ['t_009', 't_003', 't_007', 't_001', 't_004', 'transport_robot_001_m_018', 't_006', 'transport_robot_002_m_171', 't_002', 't_008', 't_000', 't_005'], ['transport_robot_002_m_171', 't_009', 't_007', 'transport_robot_001_m_018', 't_005', 't_002', 't_006', 't_008', 't_001', 't_004', 't_003', 't_000']]","[80.58065573770492, 9.375, 18.0]"
0,"[['t_008', 't_007', 't_001', 't_006', 't_004', 'transport_robot_002_m_171', 't_003', 'transport_robot_001_m_018', 't_005', 't_009', 't_002', 't_000'], ['t_007', 't_009', 't_002', 'transport_robot_001_m_018', 't_006', 't_000', 't_003', 't_001', 'transport_robot_002_m_171', 't_008', 't_004', 't_005'], ['t_000', 't_007', 'transport_robot_002_m_171', 't_006', 't_005', 'transport_robot_001_m_018', 't_003', 't_001', 't_004', 't_008', 't_009', 't_002'], ['transport_robot_002_m_171', 'transport_robot_001_m_018', 't_007', 't_009', 't_008', 't_000', 't_001', 't_006', 't_002', 't_003', 't_004', 't_005'], ['t_008', 't_009', 't_005', 't_002', 'transport_robot_001_m_018', 't_000', 't_003', 't_004', 't_007', 'transport_robot_002_m_171', 't_006', 't_001']]","[63.58207650273224, 7.457797933988408, 32.0]"
0,"[['t_007', 't_000', 'transport_robot_002_m_171', 't_008', 't_003', 't_004', 't_001', 't_009', 't_006', 'transport_robot_001_m_018', 't_005', 't_002'], ['t_007', 't_002', 'transport_robot_001_m_018', 't_006', 't_000', 't_004', 't_005', 't_008', 't_001', 't_003', 't_009', 'transport_robot_002_m_171'], ['t_000', 'transport_robot_001_m_018', 't_006', 't_005', 't_007', 'transport_robot_002_m_171', 't_002', 't_003', 't_008', 't_004', 't_009', 't_001'], ['t_001', 'transport_robot_002_m_171', 't_007', 'transport_robot_001_m_018', 't_003', 't_004', 't_006', 't_005', 't_008', 't_002', 't_009', 't_000'], ['t_008', 't_009', 't_000', 'transport_robot_001_m_018', 't_003', 't_007', 't_006', 'transport_robot_002_m_171', 't_005', 't_004', 't_002', 't_001']]","[57.54688524590164, 9.63373345644814, 25.0]"
0,"[['t_004', 't_001', 'transport_robot_002_m_171', 't_008', 't_007', 't_009', 't_003', 't_002', 't_005', 't_006', 't_000', 'transport_robot_001_m_018'], ['t_007', 't_009', 't_005', 't_008', 't_001', 'transport_robot_002_m_171', 't_002', 't_000', 'transport_robot_001_m_018', 't_004', 't_006', 't_003'], ['t_000', 't_005', 't_007', 't_001', 'transport_robot_002_m_171', 't_006', 't_002', 't_003', 't_008', 'transport_robot_001_m_018', 't_004', 't_009'], ['t_001', 'transport_robot_002_m_171', 't_005', 'transport_robot_001_m_018', 't_007', 't_008', 't_004', 't_000', 't_002', 't_009', 't_006', 't_003'], ['t_008', 't_009', 't_002', 'transport_robot_001_m_018', 't_005', 'transport_robot_002_m_171', 't_003', 't_006', 't_004', 't_007', 't_001', 't_000']]","[53.58207650273224, 8.49056603773585, 32.0]"
0,"[['t_005', 't_008', 't_001', 'transport_robot_002_m_171', 't_004', 't_006', 't_003', 't_002', 't_007', 't_000', 't_009', 'transport_robot_001_m_018'], ['t_007', 't_002', 't_003', 't_006', 't_009', 't_005', 't_000', 'transport_robot_001_m_018', 't_001', 't_004', 't_008', 'transport_robot_002_m_171'], ['t_000', 't_007', 'transport_robot_001_m_018', 't_002', 't_006', 'transport_robot_002_m_171', 't_001', 't_003', 't_008', 't_004', 't_005', 't_009'], ['t_001', 'transport_robot_002_m_171', 'transport_robot_001_m_018', 't_007', 't_008', 't_000', 't_002', 't_006', 't_003', 't_004', 't_009', 't_005'], ['t_008', 't_009', 't_002', 't_005', 't_000', 'transport_robot_002_m_171', 't_003', 't_006', 't_004', 't_001', 't_007', 'transport_robot_001_m_018']]","[53.58207650273224, 8.49056603773585, 32.0]"
0,"[['transport_robot_002_m_171', 't_004', 't_008', 't_007', 't_009', 'transport_robot_001_m_018', 't_003', 't_000', 't_001', 't_005', 't_002', 't_006'], ['t_007', 't_006', 't_000', 't_008', 't_002', 't_003', 'transport_robot_002_m_171', 't_005', 'transport_robot_001_m_018', 't_004', 't_001', 't_009'], ['t_000', 't_006', 't_007', 'transport_robot_002_m_171', 'transport_robot_001_m_018', 't_003', 't_004', 't_005', 't_001', 't_002', 't_008', 't_009'], ['t_001', 't_007', 'transport_robot_002_m_171', 'transport_robot_001_m_018', 't_003', 't_004', 't_009', 't_006', 't_002', 't_000', 't_008', 't_005'], ['t_009', 't_007', 't_002', 'transport_robot_001_m_018', 't_005', 'transport_robot_002_m_171', 't_000', 't_003', 't_006', 't_008', 't_001', 't_004']]","[70.4, 10.204081632653061, 20.0]"
