Group,TypeCounts,Objectives,StateCounts
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 50.0, 0.0]",
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 40.0, 5.0]",
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 40.0, 5.0]",
Non-Dominated,"{'Dragon': 7, 'TWDH': 3}","[-20.0, -29.0, -30.0, 355.0, 57.19567960936358]",
Non-Dominated,"{'Minimal': 1, 'TWDH': 6, 'Dragon': 2}","[-16.0, -35.0, -25.0, 445.0, 75.79715011809903]",
Non-Dominated,"{'QWSH': 5, 'TWSH': 1}","[-28.0, -12.0, -18.0, 355.0, 100.79715011809903]",
Non-Dominated,"{'QWDH': 3, 'QWSH': 2, 'Dragon': 1}","[-24.0, -21.0, -18.0, 360.0, 234.35242918487907]",
Non-Dominated,"{'Dragon': 1, 'Minimal': 4}","[-2.0, -6.0, -7.0, 60.0, 10.0]",
Non-Dominated,"{'Dragon': 2, 'Minimal': 3}","[-4.0, -7.0, -9.0, 70.0, 0.0]",
Non-Dominated,"{'Dragon': 5, 'QWSH': 3}","[-25.0, -16.0, -24.0, 330.0, 198.72608230623356]",
Non-Dominated,"{'Dragon': 3, 'Minimal': 2}","[-6.0, -8.0, -11.0, 90.0, 0.0]",
Non-Dominated,"{'TWDH': 3, 'Dragon': 3, 'QWDH': 1, 'QWSH': 1}","[-21.0, -28.0, -24.0, 395.0, 166.64722626239794]",
Non-Dominated,"{'Dragon': 3, 'QWSH': 4, 'Minimal': 1}","[-26.0, -15.0, -22.0, 345.0, 179.08868277366824]",
Non-Dominated,"{'Minimal': 4, 'TWDH': 1}","[-2.0, -9.0, -7.0, 90.0, 5.0]",
Non-Dominated,"{'Dragon': 1, 'Minimal': 3, 'TWSH': 1}","[-5.0, -7.0, -9.0, 85.0, 0.0]",
Non-Dominated,"{'QWDH': 5, 'TWDH': 1}","[-22.0, -30.0, -18.0, 420.0, 98.71855748619484]",
Non-Dominated,"{'Dragon': 2, 'TWDH': 5, 'QWDH': 1}","[-18.0, -34.0, -24.0, 440.0, 89.57642186246387]",
Non-Dominated,"{'Minimal': 3, 'QWDH': 2}","[-8.0, -13.0, -9.0, 140.0, 40.30967444123481]",
Non-Dominated,"{'QWDH': 3, 'TWDH': 3, 'Dragon': 1}","[-20.0, -32.0, -21.0, 430.0, 116.59430023619807]",
Non-Dominated,"{'Dragon': 1, 'QWSH': 4, 'TWSH': 1, 'Minimal': 1}","[-25.0, -13.0, -19.0, 355.0, 150.79715011809904]",
Non-Dominated,"{'QWDH': 3, 'Minimal': 3}","[-12.0, -18.0, -12.0, 240.0, 26.70820393249937]",
Non-Dominated,"{'Dragon': 8, 'Minimal': 1}","[-16.0, -17.0, -25.0, 215.0, 93.41640786499875]",
Non-Dominated,"{'Minimal': 3, 'Dragon': 1, 'TWDH': 1}","[-4.0, -10.0, -9.0, 115.0, 20.0]",
Non-Dominated,"{'Dragon': 3, 'Minimal': 1, 'TWDH': 1}","[-8.0, -12.0, -13.0, 135.0, 0.0]",
Non-Dominated,"{'Minimal': 2, 'TWDH': 5, 'Dragon': 2}","[-14.0, -31.0, -23.0, 375.0, 60.797150118099026]",
