Group,TypeCounts,Objectives,StateCounts
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 162.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,{'Minimal': 5},"[-0.0, -5.0, -5.0, 112.0, 33.60555127546399]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Dragon': 10, 'TWDH': 1}","[-22.0, -25.0, -33.0, 620.0, 54.27808959606491]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,"{'QWSH': 5, 'TWSH': 1}","[-28.0, -12.0, -18.0, 644.0, 95.45181006496577]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 6, 'Dragon': 2, 'Minimal': 1}","[-16.0, -35.0, -25.0, 770.0, 96.54075625056542]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'TWDH': 6, 'Dragon': 2, 'Minimal': 1}","[-16.0, -35.0, -25.0, 770.0, 96.54075625056542]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'TWDH': 3, 'Dragon': 1, 'QWDH': 2}","[-16.0, -27.0, -18.0, 592.0, 393.951080954736]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 3, 'Dragon': 2}","[-4.0, -7.0, -9.0, 161.0, 10.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 3}","[-6.0, -8.0, -11.0, 179.0, 15.0]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Minimal': 4, 'Dragon': 1}","[-2.0, -6.0, -7.0, 147.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
Non-Dominated,"{'QWDH': 3, 'TWDH': 2}","[-16.0, -25.0, -15.0, 562.0, 235.66245817361522]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 4, 'Dragon': 1}","[-2.0, -6.0, -7.0, 128.0, 37.071067811865476]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 5, 'Minimal': 2}","[-10.0, -27.0, -17.0, 526.0, 369.1288821903654]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 4, 'TWDH': 1}","[-2.0, -9.0, -7.0, 188.0, 23.601470508735446]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'Minimal': 3, 'TWDH': 2}","[-4.0, -13.0, -9.0, 268.0, 33.601470508735446]","{<RobotState.ACTIVE: (0, 'green')>: 1, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
